placename	Latitude	Longitude
Israel	31.5	34.75
Gaza	31.50161	34.46672
Palestine	31.92157	35.20329
United States	39.76	-98.5
Welch	30.23604	-92.82265
Iraq	33	44
West	42.77268	-116.9579
Global South	-34.98943	138.51674
Qatar	25.5	51.25
Gulf	-7.7246	145.08545
Egypt	27	30
East Jerusalem	31.78336	35.23388
Gaza Strip	31.50161	34.46672
South Africa	26.5	-81
Russia	60	100
Ukraine	49	32
China	35	105
Malaysia	2.5	112.5
Turkey	39	35
Jordan	31	36
Bolivia	-17	-65
Maldives	3.2	73
Namibia	-22	17
Pakistan	30	70
Columbia	4	-73.25
Khan Younis	31.34018	34.30627
Middle East	33.13906	35.85869
Hague	52.51118	-106.41859
Bangladesh	24	90
Comoros	-12.23333	44.44553
Djibouti	11.83333	42.5
Netherlands	52.25	5.75
United Kingdom	54.75844	-2.69531
Myanmar	21	96
Beirut	33.89332	35.50157
Dahiyeh	33.857331	35.514419
Lebanon	33.83333	35.83333
Iran	32	53
Yemen	15.5	47.5
Beirut Shatila	33.82093	35.48839
Red Sea	52.26682	-113.802
Africa	7.1881	21.09375
Gulf Of Aden	12	48
Cape Of Good Hope	37.52777	-108.02785
Singapore	1.36667	103.8
Mediterranean	35.78	19.33
Indian Ocean	-10	70
Europe	48.69096	9.14062
Asia	29.84064	89.29688
Spain	40	-4
Canada	60.10867	-113.64258
Australia	-25	135
Germany	51.5	10.5
Italy	42.83333	12.83333
Switzerland	47.00016	8.01427
Finland	64	26
Estonia	59	26
Japan	35.68536	139.75309
Austria	47.33333	13.33333
Romania	46	25
West Bank	19.38197	-81.39281
Syria	35	38
Jerusalem	31.76904	35.21633
Dearborn	42.32226	-83.17631
Michigan	44.25029	-85.50033
Mackinac Island	43.68897	-70.2331
Great Lakes	26.50687	127.94581
Lake Michigan	44.00778	-86.75698
Afghanistan	33	66
Texas	31.25044	-99.25061
Beit Nabala	31.5464	34.49514
Idlib	35.93062	36.63393
Hamas	51.68033	7.82089
Tel Aviv	32.08088	34.78057
Washington	47.50012	-120.50147
Cairo	30.06263	31.24967
Doha	25.28545	51.53096
Nuseirat	31.44861	34.3925
Central Gaza Strip	-2.02107	24.69727
Deir Elbalah	35.33588	40.14084
Rafah	31.29722	34.24357
India	22	79
New Delhi	28.62137	77.2148
India Basmati	22	79
North America	46.07323	-100.54688
North Africa	32.95337	9.97559
Arabian Sea	25	45
Dc	38.91706	-77.00025
Karem Abu Salem	30.486	31.60823
Kerem Shalom	31.22777	34.28459
Greece	39	22
Saudi Arabia	25	45
United Arab Emirates	23.75	54.5
Ramallah	31.89964	35.20422
Geneva	46.20222	6.14569
Gaza City	31.50161	34.46672
Munich	48.13743	11.57549
Haifa	32.81841	34.9885
Sidon	33.55751	35.37148
Salameh	34.74384	59.97553
Detroit	42.33143	-83.04575
Southeast Michigan	43.96102	-83.71087
Arab America	25	45
Jarrah	24.05	54.1
Wayne County	-36.75	175
Minnesota	46.25024	-94.25055
Montreal	45.50884	-73.58781
Milton Ontario	52.04172	-0.75583
Jabalia	31.5272	34.48347
Ottawa	45.41117	-75.69812
Toronto	43.70643	-79.39864
Calgary	51.05011	-114.08529
Morocco	28.5	-10
